billing_npi,hcpcs_code,claim_month,state,specialty,paid,claims,paid_per_claim,median_ppc,peers,ppc_delta,excess_paid,z_ppc
1750504064,T2016,2021-08,MA,Case Management Agency,20567274.48,1204,17082.45388704319,9203.360212765958,23,7879.093674277232,9486428.783829788,2.996273493197775
1750504064,T2016,2021-07,MA,Case Management Agency,20536387.87,1225,16764.39826122449,9130.142488584475,23,7634.2557726400155,9351963.321484018,2.9004850266048168
1750504064,T2016,2021-09,MA,Case Management Agency,19991193.69,1176,16999.3143622449,9086.859810874705,23,7912.454551370194,9305046.552411348,3.019226380419831
1750504064,T2016,2022-05,MA,Case Management Agency,20417667.91,1235,16532.524623481782,9112.442464183381,23,7420.082159298401,9163801.466733525,2.986645684535022
1750504064,T2016,2022-01,MA,Case Management Agency,20422963.13,1162,17575.699767641996,9698.909620253164,23,7876.790147388832,9152830.151265822,2.949446426738305
1750504064,T2016,2022-03,MA,Case Management Agency,20357121.18,1200,16964.267649999998,9372.610864553315,23,7591.656785446683,9109988.14253602,2.9219004278037577
1750504064,T2016,2022-04,MA,Case Management Agency,19756570.43,1233,16023.171476074614,8939.905870069606,23,7083.2656060050085,8733666.492204176,3.016288103184427
1750504064,T2016,2022-02,MA,Case Management Agency,18448975.94,1169,15781.844260051326,8509.770765957446,23,7272.07349409388,8501053.914595746,3.016576915354728
1750504064,T2016,2024-09,MA,Case Management Agency,19303885.19,1153,16742.311526452733,9933.210046296297,23,6809.101480156436,7850894.006620371,2.952426026107431
1750504064,T2016,2022-06,MA,Case Management Agency,19576487.27,1193,16409.461248952222,9909.184762773722,23,6500.2764861785,7754829.848010951,2.5084143840827
1750504064,T2016,2024-10,MA,Case Management Agency,18267581.31,1061,17217.32451460886,10028.51804964539,23,7188.806464963469,7627323.65932624,3.0037035060659396
1750504064,T2016,2021-05,MA,Case Management Agency,18428862.17,1215,15167.787794238684,8927.487217630855,23,6240.3005766078295,7581965.200578513,2.846274732475532
1750504064,T2016,2021-04,MA,Case Management Agency,17801215.31,1188,14984.18797138047,8904.86419203747,23,6079.323779343,7222236.649859483,2.88985202644328
1750504064,T2016,2024-01,MA,Case Management Agency,13932781.91,722,19297.481869806095,9376.088397129188,23,9921.393472676908,7163246.087272727,3.4832971032711493
1750504064,T2016,2021-06,MA,Case Management Agency,17815221.93,1193,14933.12818943839,8928.966217765043,23,6004.161971673348,7162965.232206304,2.810085767707179
1073854451,H2016,2019-03,NJ,Day Training/Habilitation,7637543.92,1698,4497.9646171967015,339.1145939929771,36,4158.850023203724,7061727.339399924,2.7396459173050793
1750504064,T2016,2023-12,MA,Case Management Agency,13796691.76,787,17530.73921219822,8593.832794457276,23,8936.906417740944,7033345.350762122,3.4591598686967635
1750504064,T2016,2023-11,MA,Case Management Agency,13314984.89,773,17225.077477360934,8205.857026476579,23,9019.220450884355,6971857.408533607,3.5306660238902543
1750504064,T2016,2021-03,MA,Case Management Agency,18161099.44,1161,15642.635176571923,9641.817780612244,23,6000.817395959679,6966948.9967091875,2.775541956209942
1750504064,T2016,2020-10,MA,Case Management Agency,17420625.77,1103,15793.858359020851,9499.669675516225,23,6294.188683504626,6942490.117905603,2.916444587710025
1750504064,T2016,2023-10,MA,Case Management Agency,13657070.19,741,18430.594048582996,9168.775887445887,23,9261.81816113711,6863007.257402598,3.516580237167139
